img_rel_path,label_rel_path,has_label_file,category_label,detection_label,environment_label
images/pyronear_salaunes_1_1_2023_08_09T18_11_59.jpg,labels/pyronear_salaunes_1_1_2023_08_09T18_11_59.txt,True,nuagesbas,['nuagesbas'],[]
images/pyronear_courmettes_1_2023_11_07T14_03_17.jpg,labels/pyronear_courmettes_1_2023_11_07T14_03_17.txt,True,nuagesbas,['nuagesbas'],[]
images/pyronear_brison_3_2023_08_29T06_13_44.jpg,labels/pyronear_brison_3_2023_08_29T06_13_44.txt,True,montagne,['montagne'],[]
images/pyronear_valbonne_2_2023_11_05T15_54_38.jpg,labels/pyronear_valbonne_2_2023_11_05T15_54_38.txt,True,nuagesbas,['nuagesbas'],[]
images/pyronear_marguerite_1_2023_09_16T12_39_29.jpg,labels/pyronear_marguerite_1_2023_09_16T12_39_29.txt,True,nuagesbas,['nuagesbas'],[]
images/pyronear_brison_2_2023_10_30T08_14_22.jpg,labels/pyronear_brison_2_2023_10_30T08_14_22.txt,True,brume,"['batiment', 'brume']",['brume']
images/pyronear_marguerite_2_2023_09_10T18_10_50.jpg,labels/pyronear_marguerite_2_2023_09_10T18_10_50.txt,True,nuagesbas,['nuagesbas'],['soleilcouchant']
images/pyronear_marguerite_1_2023_09_10T16_17_43.jpg,labels/pyronear_marguerite_1_2023_09_10T16_17_43.txt,True,glare,['glare'],[]
images/pyronear_courmettes_1_2023_10_05T05_11_09.jpg,labels/pyronear_courmettes_1_2023_10_05T05_11_09.txt,True,nuagesbas,['nuagesfiligranes'],[]
images/pyronear_courmettes_1_2023_09_29T06_19_14.jpg,labels/pyronear_courmettes_1_2023_09_29T06_19_14.txt,True,glare,"['glaretacherouge', 'soleilrefletslac']",[]
images/pyronear_salaunes_1_4_2023_10_02T17_20_49.jpg,labels/pyronear_salaunes_1_4_2023_10_02T17_20_49.txt,True,glare,['glareptjaune'],[]
images/pyronear_courmettes_4_2023_09_29T17_03_16.jpg,labels/pyronear_courmettes_4_2023_09_29T17_03_16.txt,True,soleil,['soleil'],['batiment']
images/pyronear_brison_2_2023_10_30T13_43_27.jpg,labels/pyronear_brison_2_2023_10_30T13_43_27.txt,True,brume,"['batiment', 'brume']",['brume']
images/pyronear_brison_4_2023_10_28T06_12_52.jpg,labels/pyronear_brison_4_2023_10_28T06_12_52.txt,True,nuagesbas,['nuagesbas'],[]
